#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","git status","Completed","2014-02-13 12:13:46","2014-02-13 12:13:46"
"2","cd ..","Completed","2014-02-13 12:13:54","2014-02-13 12:13:54"
"3","cd git-pokaz2","Completed","2014-02-13 12:14:08","2014-02-13 12:14:08"
"4","git","Completed","2014-02-13 12:18:39","2014-02-13 12:18:39"
"5","dir","Completed","2014-02-13 12:18:49","2014-02-13 12:18:49"
"6","mkdir projekt","Completed","2014-02-13 12:19:06","2014-02-13 12:19:06"
"7","cd .\projekt","Completed","2014-02-13 12:19:15","2014-02-13 12:19:15"
"8","git init","Completed","2014-02-13 12:19:17","2014-02-13 12:19:18"
"9","tree /F .git","Completed","2014-02-13 12:19:32","2014-02-13 12:19:32"
"10","vim foo","Completed","2014-02-13 12:20:48","2014-02-13 12:20:54"
"11","git add foo","Completed","2014-02-13 12:20:58","2014-02-13 12:20:58"
"12","git commit ","Completed","2014-02-13 12:21:06","2014-02-13 12:21:21"
"13","vim foo","Completed","2014-02-13 12:21:27","2014-02-13 12:21:34"
"14","git commit -am ""First change""","Completed","2014-02-13 12:21:48","2014-02-13 12:21:48"
"15","git log","Completed","2014-02-13 12:23:38","2014-02-13 12:23:39"
"16","git branch awesome-feature","Completed","2014-02-13 12:26:44","2014-02-13 12:26:44"
"17","git checkout awesome-feature","Completed","2014-02-13 12:27:14","2014-02-13 12:27:14"
"18","vim bar","Completed","2014-02-13 12:27:53","2014-02-13 12:28:00"
"19","git add bar","Completed","2014-02-13 12:28:02","2014-02-13 12:28:02"
"20","git commit","Completed","2014-02-13 12:28:05","2014-02-13 12:28:10"
"21","vim bar","Completed","2014-02-13 12:28:28","2014-02-13 12:28:32"
"22","git commit -am ""Step 2""","Completed","2014-02-13 12:28:42","2014-02-13 12:28:42"
"23","git lol","Completed","2014-02-13 12:28:48","2014-02-13 12:28:48"
"24","git merge master","Completed","2014-02-13 12:29:50","2014-02-13 12:29:50"
"25","git checkout master","Completed","2014-02-13 12:30:36","2014-02-13 12:30:36"
"26","git merge awesome-feature","Completed","2014-02-13 12:30:44","2014-02-13 12:30:44"
"27","git checkout -b feature2","Completed","2014-02-13 12:33:26","2014-02-13 12:33:26"
"28","git baz","Completed","2014-02-13 12:34:04","2014-02-13 12:34:04"
"29","vim baz","Completed","2014-02-13 12:34:08","2014-02-13 12:34:14"
"30","git add baz","Completed","2014-02-13 12:34:17","2014-02-13 12:34:17"
"31","git commit -m ""Feature 2""","Completed","2014-02-13 12:34:22","2014-02-13 12:34:23"
"32","git checkout master","Completed","2014-02-13 12:34:27","2014-02-13 12:34:27"
"33","vim foo","Completed","2014-02-13 12:34:36","2014-02-13 12:34:55"
"34","git commit -am ""Change on master""","Completed","2014-02-13 12:35:03","2014-02-13 12:35:03"
